test1,test2,test3,test4,test5,test6
0.21,33,47,5,6,55
0,32,58,7,5,47
0.7,31,50,5,5,57
0.36,32,41,8,8,49
0.35,31,40,6,6,39
0.29,33,32,5,3,51
0.6,31,49,4,4,44
0.2,34,39,6,3,52
0.19,30,39,8,8,60
0.38,24,37,6,4,27
0.21,28,50,4,7,40
0.3,21,32,4,4,42
0.27,30,47,10,7,36
