test1,test2,test3,test4,test5,test6
0.65,35,47,7,8,38
0.27,28,41,4,3,54
0.61,32,56,5,5,61
0.63,27,52,7,7,67
0.59,31,46,8,7,45
0.5,31,46,8,8,48
0.72,30,50,7,6,60
0.36,32,28,8,7,59
0.69,28,53,7,4,63
0.74,25,41,5,6,49
0.74,29,35,5,5,60
0.3,28,37,6,7,68
0.58,32,38,4,6,60
