test1,test2,test3,test4,test5,test6
0.42,29,46,5,6,33
0.47,30,49,7,7,48
0.34,31,48,4,5,44
0.31,29,35,4,4,43
0.37,24,35,6,4,37
0.56,28,37,4,6,50
0.59,30,46,5,3,37
0.28,17,43,8,5,29
0.34,29,47,5,7,36
0.55,28,47,4,6,62
0.22,20,42,5,3,38
0.28,29,45,5,4,40
0.42,32,51,8,6,45
