test1,test2,test3,test4,test5,test6
0.56,27,39,5,5,53
0.58,24,49,6,5,43
0.65,32,48,5,7,60
0.47,23,43,5,6,63
0.69,33,48,7,7,58
0.57,29,39,5,7,42
0.67,28,52,5,5,58
0.63,29,41,7,7,62
0.57,31,56,7,7,68
0.71,31,63,9,10,67
0.48,31,45,8,7,64
0.45,32,46,8,6,64
0.68,30,49,5,7,58
