test1,test2,test3,test4,test5,test6
0.46,30,51,8,7,62
0.49,29,46,7,7,54
0.46,29,41,6,5,47
0.69,33,57,7,8,71
0.47,30,45,8,6,63
0.19,31,39,7,7,65
0.28,30,45,5,4,62
0.43,25,47,7,8,48
0.42,28,49,5,5,51
0.48,31,47,7,7,63
0.41,19,42,5,7,58
0.26,30,58,9,7,48
0.53,30,54,6,6,35
